,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Segment,Type ,Markets,Top Markets,Zone,Print-run,Publication,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
Roadways & Travel,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Hotel,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3
Hospital,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Offices & Banks,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.3,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.2,0.3,0.3,0.2
Saloon & Spa,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOI IC,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,9.6,9.7,9.7,10.4,10.3,8.3,3.3,3.3,7.9,8.0,9.7,6.8,8.8,9.7,9.6,10.1,9.6
ET IC,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCD,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CSP,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sponsorship,Direct PO,1 - Total,All markets,West 2,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.2,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Airport,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,7.0,7.0,7.0,7.1,7.3,7.3,8.4,8.4,8.4,8.3,8.4,8.4,8.4,8.4,8.3
Airlines ,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Railways ,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,16.1,17.8,15.8,15.9,16.8,16.5,18.9,18.2,19.1,18.1,17.1,17.7,19.0,18.4,19.7,20.0,19.6
Metro Railways,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.5,4.5,4.5,4.5,4.4,4.4,4.4,4.4
Roadways & Travel,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.3,1.3,1.3,1.2,1.2,1.2,1.3,1.3,1.3,1.2,1.2,1.0,0.7,0.9,1.0,0.9
Hotel,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1.6,2.0,1.7,1.7,1.7,1.7,2.0,2.1,2.1,2.0,2.1,2.1,2.1,1.7,1.9,1.9,1.9
Hospital,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.2,1.3,1.3,1.3,1.2,1.3,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.5,1.7,1.8,1.9
Offices & Banks,Direct PO,1 - Total,All markets,North,,1-TOI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.5,0.4,0.4,0.4,0.4
