Zone,Branch Name,BCCL executive name,City/Location,Name of hospitals,Hoispital Address,No. of rooms,Publication (TOI/ET/NBT/MT/MM),PO,Mode of Distribution (Direct BCCL / Indirect Vendor),"Billing Route 
(Direct by BCCL / via Dealer or Vendor)","Billing Price Category 
(Full / Discounted / Free)",Print-run,"Full cover price
(Rs)",Days of delivery,Billing Price per Copy (Rs),Dealer Commission (per copy in Rs),Vendor Commission (per copy in Rs),BCCL off role manpower Salary (Other Expenses),"Extra Handling Charges
(Rs) per month",Distribution Trail: Step 1 (Drop Point Details),Distribution Trail: Step 2 (Intermediate/Transit),Distribution Trail: Step 3 (placement in the stand/room),Timing: From First Drop Point,Final timing (placement in the stand),Personnel Responsible (Dealer/Vendor/BCCL Off-role),Proof of Delivery (Photos/WhatsApp/Signatures),"Frequency
(proof of delivery)",Remarks / Audit Notes
North,Jaipur,,Jaipur,C K Birla Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Aditya Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Deepmala Pagarani Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Shree Balaji Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Yashika Eye Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Gattani Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Medipulse Hospital,,,TOI,2,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Mahaveer ENT Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Binnani Hospital ,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Darshan Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Gupta ENT & Heart Centre,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
North,Jaipur,,Jaipur,Vijay Hospital,,,TOI,1,Indirect Vendor,Via Dealer,Full,Jaipur City,3.50,Mon-Sun,2.2,0.2,1.2,0.0,0.0,hospital service gate,Front office / reception,By hospital housekeeping staff,05:30,06:30,,WhatsApp,Weekly,
