,,,,,,,,,,,,,,,,,,Chain name,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airport,,,,,,,,Hotel,,,,,,,,,,Hospitals,,,,,,,,,,Railways,,,,,,,,Roadways,,,,,,,,Offices & Banks,,,,,,,,CCD,,,,,,,,Chaayos,,,,,,,,Campus TOIC,,,,,,,,Campus ETIC,,
Zone,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Dec 25 PO,,Cat,,,,,,,,Zone,City name, TOI , ET , NBT , MT ,TOTAL,,,,Zone,Train type, TOI , ET , NBT , MT ,TOTAL,,Zone,City name,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,TOI,ET,NBT,MT,TOTAL,,State,City,Sum of # TOI,Sum of # ET,Sum of # NBT,Sum of # MT,TOTAL,,Region,City,Sum of TOI,Sum of ET,Sum of NBT,Sum of MT,TOTAL,,Zone,City name,PO,,,,,,Zone,City name,PO
South II,Chennai," 2,860 "," 1,000 ",,," 3,860 ",,East,Ranchi,, 35 , 85 , 40 , 160 ,,,,West 1,Indore, 182 , 2 ,,, 184 ,,,,West 2,Shatabdi," 1,200 ",,, 50 ," 1,250 ",,,,,,,,,,South 2,Vijayawada, 35 ,,,, 35 ,,Orissa,Kolkata,48,12,0,0, 60 ,,,,,,,,,,EAST,Keonjhar, 123 ,,,,,,EAST,Ranchi, 20 
South II,Coimbatore, 100 , -   ,,, 100 ,,East,Sambalpur, 5 ,,,, 5 ,,,,West 1,Mumbai," 9,357 "," 1,361 ", 421 , 932 ," 12,071 ",,,,West 2,Tejas, 840 , 10 ,,, 850 ,,,,,,,,,,South 2,Vizag, 63 ,,,, 63 ,,West Bengal,Kolkata,336,84,0,0, 420 ,,,,,,,,,,EAST,Kolkata ," 2,116 ",,,,,,EAST,Rourkela, 22 
South II,Hyderabad," 1,840 "," 1,000 ",,," 2,840 ",,East,Shillong, 7 , 14 , 39 , 25 , 85 ,,,,West 2,Ahmedabad, 184 , 19 , -   , -   , 203 ,,,,West 2,Vande Bharat," 7,265 ", -   , -   , 269 ," 7,534 ",,,,,,,,,,West 1,Goa, 116 , 53 ,,, 169 ,,Grand Total,,2062,564,208,99," 2,933 ",,,,,,,,,,EAST,Konark, -   ,,,,,,EAST,Sampalpur, 41 
South II,Madurai, 900 ,,,, 900 ,,East,Silguri,, 4 ,,, 4 ,,,,West 2,Nagpur, 32 , -   , -   , -   , 32 ,,,,Grand Total,," 65,167 "," 2,441 "," 6,031 ", 369 ," 74,008 ",,,,,,,,,,West 1,Mumbai," 10,516 "," 6,308 ", 572 , 752 ," 18,148 ",,,,,,,,,,,,,,,,,,EAST,Paradeep, 35 ,,,,,,EAST,Tensa, -   
South II,Trichy, 900 ,,,, 900 ,,North,Bhopal, 74 , 28 , 45 , 68 , 215 ,,,,West 2,PUNE, 468 , 113 ,, 268 , 849 ,,,,,,,,,,,,,,,,,,,,West 2,Ahmedabad, 154 , 66 ,,, 220 ,,,,,,,,,,,,,,,,,,EAST,Patna, 96 ,,,,,,North,ALLAHABAD,
South II,Vijayawada, 350 , -   ,,, 350 ,,North,CHANDIGARH,, 24 , 149 , 49 , 222 ,,,,West 2,Raipur, 20 , 10 , -   , -   , 30 ,,,,,,,,,,,,,,,,,,,,West 2,Nagpur, 505 , 59 ,,, 564 ,,,,,,,,,,,,,,,,,,EAST,Raksin, 13 ,,,,,,North,CHANDIGARH,
South II,Visakhapatnam, 350 , -   ,,, 350 ,,North,Delhi, 395 , 276 , 124 ," 1,327 "," 2,122 ",,,,West 2,Surat, 60 , -   , -   , -   , 60 ,,,,,,,,,,,,,,,,,,,,West 2,Pune, 817 , 279 ,, 389 ," 1,485 ",,,,,,,,,,,,,,,,,,EAST,Ranchi, 54 ,,,,,,North,Delhi,
West I,Aurangabad,,,,, -   ,,North,Jaipur, 148 , 136 , 122 , 417 , 823 ,,,,West 2,Vadodara, 10 , -   , -   , -   , 10 ,,,,,,,,,,,,,,,,,,,,West 2,Raipur, 272 , 8 ,,, 280 ,,,,,,,,,,,,,,,,,,EAST,Rourkela, 34 ,,,,,,North,Faridabad,
West I,GOA," 1,150 ", 350 ,,," 1,500 ",,North,Lucknow, 24 , 134 , 131 , 130 , 419 ,,,,Grand Total,," 16,439 "," 2,102 "," 1,814 "," 1,200 "," 21,555 ",,,,,,,,,,,,,,,,,,,,Grand Total,," 21,622 "," 11,550 "," 4,651 "," 1,141 "," 38,964 ",,,,,,,,,,,,,,,,,,EAST,Sambalpur, 297 ,,,,,,North,Ghaziabad,
West I,Indore, 800 , 250 ,,," 1,050 ",,North,UPC, 480 , 503 , 30 , 54 ," 1,067 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,Shillong, 5 ,,,,,,North,Gurgaon,
West I,Mumbai," 15,600 "," 5,720 "," 1,200 ", 800 ," 23,320 ",,South 1,Bangalore, 337 , 780 , 427 ," 1,034 "," 2,578 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAST,Siliguri, 11 ,,,,,,North,KANPUR,
